2019 Rank,City,State,Dataset Found? [Y/N],Small Description ,Columns,Years Covered,Link to Usage Information,URL Source
1,New York,New York,N,,,,,https://www1.nyc.gov/site/nypd/stats/reports-analysis/firearms-discharge.page
2,Los Angeles,California,Y,deputy involved shootings,"[INCIDENT NUMBER, INCIDENT TYPE, INCIDENT DATE, INCIDENT LOCATION, CITY, STATE, ZIP, REPORTING DISTRICT, GEO_LOCATION, # OF PERSONS, PERSON, RACE, DECEASED, WOUNDED, DEPUTY GENDER, DEPUTY RACE, DEPUTY AGE, YEARS OF SERVICE, DEPUTY ASSIGNED UNIT, DEPUTY ASSIGNED UNIT NAME, INVOLVED IN PREVIOUS SHOOTINGS, # OF PREVIOUS SHOOTINGS, DISTRICT ATTORNEY ACTION, TRAINING, WEAPON INVOLVED CATEGORY, WEAPON INVOLVED CATEGORY DESC, APPROX_LATITUDE, APPROX_LONGITUDE]","[2010, 2020]",N/A,https://data.lacounty.gov/Criminal/Deputy-Details-Hit-Shooting-Incidents-and-Non-Hit-/7jc3-gsk7
3,Chicago,Illinois,,,,,,
4,Houston,Texas,,,,,,
5,Phoenix,Arizona,Y,"police involved shootings, no action_taken information","[DATE, TIME, HOUR, DAY_OF_WEEK, MONTH, QUARTER, YEAR, INC_RPT, PRECINCT, COUNCIL_DIST, LOCATION, SP_WEAPON, SP_INJURY_LEVEL, FATALITY_FLG, SP_GENDER, SP_ETHNICITY, SP_RACE, SP_AGE_AT_INC, SP_AGE_GROUP, PO_RACE, PO_ETHNICITY, REFERENCE_ID]","[2017, 2020]",N/A,https://www.phoenixopendata.com/dataset/officer-involved-shooting-incidents/resource/8f8c1739-b905-407f-9eb6-6b10db55b931
6,Philadelphia,Pennsylvania,,,,,,
7,San Antonio,Texas,,,,,,
8,San Diego,California,,,,,,
9,Dallas,Texas,,,,,,
10,San Jose,California,,,,,,
11,Austin,Texas,,,,,,
12,Jacksonville,Florida,,,,,,
13,Fort Worth,Texas,,,,,,
14,Columbus,Ohio,,,,,,
15,Charlotte,North Carolina,,,,,,
16,San Francisco,California,,,,,,
17,Indianapolis,Indiana,,,,,,
18,Seattle,Washington,,,,,,
19,Denver,Colorado,Y,police involved shootings ,"[INCIDENT_NUMBER, INCIDENT_DATE, INCIDENT_TIME, DAY_OF_WEEK, INITIAL_CONTACT, CONTACT_BASIS, STREET_ADDRESS, CITY_STATE, LAST_FIRST_NAME, ROLE, OFFICER_RANK, BADGE_NUMBER, DUTY_STATUS, UNIFORM_PLAINCLOTHES, GENDER, AGE, RACE, ETHNICITY, ARMED_WITH, DISCHARGED_FIREARM, CASUALTY, DECISION_LETTER_URL, X_COORDINATE, Y_COORDINATE]","[2015, 2020]",/data/city_data/denver-co/usage_info.txt,https://www.denvergov.org/opendata/dataset/city-and-county-of-denver-denver-police-officer-involved-shootings
20,Washington,District of Columbia,,,,,,
21,Boston,Massachusetts,,,,,,
22,El Paso,Texas,,,,,,
23,Nashville,Tennessee,,,,,,
24,Detroit,Michigan,,,,,,
25,Oklahoma City,Oklahoma,,,,,,
26,Portland,Oregon,,,,,,
27,Las Vegas,Nevada,,,,,,
28,Memphis,Tennessee,,,,,,
29,Louisville,Kentucky,,,,,,
30,Baltimore,Maryland,,,,,,
31,Milwaukee,Wisconsin,,,,,,
32,Albuquerque,New Mexico,,,,,,
33,Tucson,Arizona,,,,,,
34,Fresno,California,,,,,,
35,Mesa,Arizona,,,,,,
36,Sacramento,California,,,,,,
37,Atlanta,Georgia,,,,,,
38,Kansas City,Missouri,,,,,,
39,Colorado Springs,Colorado,,,,,,
40,Omaha,Nebraska,,,,,,
41,Raleigh,North Carolina,,,,,,
42,Miami,Florida,,,,,,
43,Long Beach,California,,,,,,
44,Virginia Beach,Virginia,,,,,,
45,Oakland,California,,,,,,
46,Minneapolis,Minnesota,,,,,,
47,Tulsa,Oklahoma,,,,,,
48,Tampa,Florida,,,,,,
49,Arlington,Texas,,,,,,
50,New Orleans,Louisiana,,,,,,
